"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"OpenFrame Tests","","","0","76","0","0","0"
"","Extended Pipeline Testing","Boundary Testing","0","0","0","1","0"
"Integration Tests","GraphQL Device Queries","Device GraphQL operations and queries","7","0","0","1","0"
"OpenFrame Tests","GraphQL Device Queries","Device GraphQL operations and queries","14","0","0","0","0"
"OpenFrame Tests","GraphQL API","","8","0","0","0","0"
"","Extended Pipeline Testing","Data Integrity","0","0","0","1","0"
"","Extended Pipeline Testing","High Volume Processing","0","0","0","1","0"
"","","","0","3","0","3","0"
"","Extended Pipeline Testing","Error Handling","0","0","0","1","0"
"","End-to-End Device Processing","Device Registration Pipeline","0","0","0","1","0"
"Integration Tests","Agent Registration","Agent registration workflow","3","0","0","0","0"
"OpenFrame Tests","Agent Registration","Agent registration workflow","3","0","0","0","0"
"","Extended Pipeline Testing","Multi-Tool Processing","0","0","0","1","0"
"","End-to-End Device Processing","Device Filter Aggregation","0","0","0","1","0"
"","End-to-End Log Processing","Tool Integration Pipeline","0","0","0","1","0"
