"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 15:17:05 UTC 2026","Fri May 22 15:17:05 UTC 2026","704","","Organizations","","com.openframe.test.tests.OrganizationsTest","testCreateOrganization","Create Organization",""
"passed","Fri May 22 15:17:14 UTC 2026","Fri May 22 15:17:15 UTC 2026","1723","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPassword","Verify that user can reset password",""
"passed","Fri May 22 15:17:08 UTC 2026","Fri May 22 15:17:10 UTC 2026","1089","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokensWithoutTenantId","Verify refresh of access tokens without tenantId",""
"passed","Fri May 22 15:17:05 UTC 2026","Fri May 22 15:17:06 UTC 2026","267","","Organizations","","com.openframe.test.tests.OrganizationsTest","testListOrganizations","List Organizations",""
"passed","Fri May 22 15:16:57 UTC 2026","Fri May 22 15:17:03 UTC 2026","5563","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"passed","Fri May 22 15:17:07 UTC 2026","Fri May 22 15:17:07 UTC 2026","78","","Users","","com.openframe.test.tests.UserTest","testGetUsers","Get user",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:13 UTC 2026","111","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testRevokeInvitation","Revoke Invitation",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:14 UTC 2026","190","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegisterExistingUser","Check that user cannot register with Already Registered email",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:13 UTC 2026","117","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testDeleteUser","Delete Admin User",""
"passed","Fri May 22 15:17:06 UTC 2026","Fri May 22 15:17:07 UTC 2026","518","","Organizations","","com.openframe.test.tests.OrganizationsTest","testArchiveOrganization","Archive Organization",""
"passed","Fri May 22 15:17:12 UTC 2026","Fri May 22 15:17:13 UTC 2026","353","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptInvitation","Accept Invitation",""
"passed","Fri May 22 15:17:06 UTC 2026","Fri May 22 15:17:06 UTC 2026","267","","Organizations","","com.openframe.test.tests.OrganizationsTest","testUpdateOrganization","Update Organization",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:13 UTC 2026","100","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteDeletedUser","Check that Deleted User can be invited",""
"passed","Fri May 22 15:17:11 UTC 2026","Fri May 22 15:17:12 UTC 2026","1080","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogout","Verify logout",""
"passed","Fri May 22 15:17:06 UTC 2026","Fri May 22 15:17:06 UTC 2026","262","","Organizations","","com.openframe.test.tests.OrganizationsTest","testRetrieveOrganization","Get Organization",""
"passed","Fri May 22 15:17:07 UTC 2026","Fri May 22 15:17:07 UTC 2026","40","","Users","","com.openframe.test.tests.UserTest","testListUsers","List users",""
"passed","Fri May 22 15:17:10 UTC 2026","Fri May 22 15:17:11 UTC 2026","1293","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogoutWithoutTenantId","Verify logout without tenantId",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:13 UTC 2026","57","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteActiveUser","Check that Existing User cannot be invited",""
"passed","Fri May 22 15:17:03 UTC 2026","Fri May 22 15:17:05 UTC 2026","1854","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Fri May 22 15:17:14 UTC 2026","Fri May 22 15:17:14 UTC 2026","41","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegistrationClosed","Check that user cannot register when Registration is Closed",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:13 UTC 2026","64","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptAcceptedInvitation","Check that already Accepted Invitation cannot be accepted",""
"passed","Fri May 22 15:17:12 UTC 2026","Fri May 22 15:17:12 UTC 2026","530","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteUser","Invite New user",""
"passed","Fri May 22 15:17:07 UTC 2026","Fri May 22 15:17:07 UTC 2026","611","","Users","","com.openframe.test.tests.UserTest","testDeleteOwner","Check that Owner User cannot be deleted",""
"passed","Fri May 22 15:17:13 UTC 2026","Fri May 22 15:17:13 UTC 2026","57","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptRevokedInvitation","Check that Revoked Invitation cannot be accepted",""
"passed","Fri May 22 15:17:07 UTC 2026","Fri May 22 15:17:08 UTC 2026","1061","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokens","Verify refresh of access tokens",""
"passed","Fri May 22 15:16:50 UTC 2026","Fri May 22 15:16:57 UTC 2026","6889","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Fri May 22 15:17:14 UTC 2026","Fri May 22 15:17:14 UTC 2026","85","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPasswordWithInvalidToken","Verify that user cannot reset password with invalid token",""
